id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,#date+year+start,#date+year+end,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#country+code,#geo+lon,,,#country+name,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
141869,INS-1989-1-498-999,1989,1989,1989,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"Reuters, 1989-08-02, IRIAN JAYA REBEL LEADER SURRENDERS TO INDONESIAN ARMY",,,,army,4,Irian Jaya Province,Irian Jaya (Indonesian New Guinea),Irian Jaya Province,,-5.000000,IDN,140.000000,POINT (140.000000 -5.000000),123041,Indonesia,850,Asia,1,3,1989-07-26 00:00:00.000,1989-08-01 00:00:00.000,0,1,0,0,1,1,1,850,
141872,INS-1991-1-498-999,1991,1991,1991,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"Reuters, 1991-11-04, INDONESIAN ARMY KILLS THREE REBELS IN IRIAN JAYA",,,,army,5,Papua New Guinea - Indonesia border,Yabandatua village near the border with Papua New Guinea,Irian Jaya Province,,-5.000000,IDN,141.000000,POINT (141.000000 -5.000000),123043,Indonesia,850,Asia,1,1,1991-10-27 00:00:00.000,1991-10-27 00:00:00.000,0,3,0,0,3,3,3,850,
141874,INS-1995-1-498-999,1995,1995,1995,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"Tadjoeddin (2002) ""Database on Social Violence in Indonesia, 1990-2001",,,,,1,Wamena town,"Wamena, Kab, Jayawijaya, Papua",Irian Jaya Province,Jayawijaya Regency,-4.097500,IDN,138.951111,POINT (138.951111 -4.097500),123758,Indonesia,850,Asia,1,1,1995-05-30 00:00:00.000,1995-05-30 00:00:00.000,0,0,0,0,0,10,0,850,
141877,INS-1995-1-498-2,1995,1995,1995,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,Reuters 11/17/1995 Indonesia says Irian rebels kill one soldier.,,,,army,5,Papua New Guinea - Indonesia border,Irian Jaya - Papua New Guinea border,Irian Jaya Province,,-5.000000,IDN,141.000000,POINT (141.000000 -5.000000),123043,Indonesia,850,Asia,1,1,1995-11-14 00:00:00.000,1995-11-14 00:00:00.000,1,0,0,0,1,1,1,850,
141880,INS-1996-1-498-2,1996,1996,1996,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,R 8/22/1996 Indonesian soldiers clash with Irian kidnappers,,,,army,1,Timika town,west of the town of Timika,Irian Jaya Province,Mimika Regency,-4.549000,IDN,136.888800,POINT (136.888800 -4.549000),123034,Indonesia,850,Asia,1,1,1996-08-22 00:00:00.000,1996-08-22 00:00:00.000,0,1,0,0,1,1,1,850,
141875,INS-1996-1-498-4,1996,1996,1996,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"BBC 12/31/1996 ARMY CAPTURES TWO IRIAN JAYA REBELS, SAID TO HAVE KILLED ANOTHER  Radio Australia external service, Melbourne, in English 0800 gmt 30 Dec 96.",,,,Radio Australia,4,Irian Jaya Province,Irian Jaya,Irian Jaya Province,,-5.000000,IDN,140.000000,POINT (140.000000 -5.000000),123041,Indonesia,850,Asia,1,3,1996-12-23 00:00:00.000,1996-12-29 00:00:00.000,0,1,0,0,1,1,1,850,
141384,INS-1998-1-498-999,1998,1998,1998,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"Tadjoeddin (2002) ""Anatomy of Social Violence in the Context of Transition",,,,,4,Irian Jaya Province,Irian Jaya,Irian Jaya Province,,-5.000000,IDN,140.000000,POINT (140.000000 -5.000000),123041,Indonesia,850,Asia,2,5,1998-01-01 00:00:00.000,1998-12-31 00:00:00.000,0,0,0,0,0,1,0,850,
141624,INS-2000-1-498-7,2000,2000,2000,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"AP 12/16/2000 Soldier killed, four troops abducted; rebel violence in Indonesia claims 10 lives",,,,,4,Irian Jaya Province,Irian Jaya province,Irian Jaya Province,,-5.000000,IDN,140.000000,POINT (140.000000 -5.000000),123041,Indonesia,850,Asia,1,1,2000-12-15 00:00:00.000,2000-12-15 00:00:00.000,1,0,0,0,1,1,1,850,
141632,INS-2001-1-498-8,2001,2001,2001,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"Tadjoeddin (2002) ""Anatomy of Social Violence in the Context of Transition",,,,,4,Irian Jaya Province,Irian Jaya province,Irian Jaya Province,,-5.000000,IDN,140.000000,POINT (140.000000 -5.000000),123041,Indonesia,850,Asia,2,5,2001-01-01 00:00:00.000,2001-12-31 00:00:00.000,0,0,0,0,0,20,0,850,
141636,INS-2006-1-498-999,2006,2006,2006,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"Reuters 2006-03-16 ""Three killed in anti-Freeport protests in Indonesia"" AND Reuters 2006-03-16 ""UPDATE 1-Four killed in anti-Freeport protests in Indonesia"" AND AFP 2006-04-14 ""19 still on run over Indonesia mine clash",,,,Police,4,Papua Province,Papua province,Papua Province,,-2.533333,IDN,140.716667,POINT (140.716667 -2.533333),125922,Indonesia,850,Asia,1,1,2006-03-16 00:00:00.000,2006-03-16 00:00:00.000,5,0,0,1,6,6,6,850,
141639,INS-2006-1-498-3,2006,2006,2006,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,-1,"Reuters 2006-04-10 ""Four killed in clash in Indonesia's Papua""  AFP 2006-04-11 ""Four killed in Papua clash",,,,military spokesman,4,Papua Province,Papua. in a village some 70 km (44 miles) from the provincial capital Jayapura,Papua Province,,-2.533333,IDN,140.716667,POINT (140.716667 -2.533333),125922,Indonesia,850,Asia,1,1,2006-04-10 00:00:00.000,2006-04-10 00:00:00.000,2,2,0,0,4,4,4,850,
68299,INS-2013-1-498-1,2013,2013,2013,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,4,"""Agence France Presse,2013-02-21,Gunmen kill soldier in Indonesian Papua"";""Associated Press Newswires,2013-02-21,Gunmen kill 8 soldiers in 2 separate attacks in Indonesia's restive Papua province"";""Dow Jones News Service,2013-02-21,Eight Indonesian Soldiers Killed in Papua Attacks"";""The Jakarta Globe,2013-02-25,Papua Police Chief Says Recent Attacks Linked to Local Elections""",Agence France Presse;Associated Press Newswires;Dow Jones News Service;The Jakarta Globe,2013-02-21;2013-02-21;2013-02-21;2013-02-25,Gunmen kill soldier in Indonesian Papua;Gunmen kill 8 soldiers in 2 separate attacks in Indonesia's restive Papua province;Eight Indonesian Soldiers Killed in Papua Attacks;Papua Police Chief Says Recent Attacks Linked to Local Elections,A military spokesman,1,Tingginambut village,Tingginambut,Papua Province,Puncak Jaya Regency,-3.718000,IDN,138.085000,POINT (138.085000 -3.718000),124477,Indonesia,850,Asia,1,1,2013-02-21 00:00:00.000,2013-02-21 00:00:00.000,1,0,0,0,1,1,1,850,
68300,INS-2013-1-498-0,2013,2013,2013,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,6,"""Agence France Presse,2013-02-21,Gunmen kill eight soldiers in Indonesian Papua"";""Agence France Presse,2013-02-21,'Separatists' kill eight soldiers in Indonesian Papua"";""Associated Press Newswires,2013-02-21,Gunmen kill 8 soldiers in 2 separate attacks in Indonesia's restive Papua province"";""Dow Jones News Service,2013-02-21,Eight Indonesian Soldiers Killed in Papua Attacks"";""Associated Press Newswires,2013-02-22,Gunmen attack Indonesian military helicopter on mission to evacuate slain soldiers in Papua"";""The Jakarta Globe,2013-02-25,Papua Police Chief Says Recent Attacks Linked to Local Elections""",Agence France Presse;Agence France Presse;Associated Press Newswires;Dow Jones News Service;Associated Press Newswires;The Jakarta Globe,2013-02-21;2013-02-21;2013-02-21;2013-02-21;2013-02-22;2013-02-25,Gunmen kill eight soldiers in Indonesian Papua;'Separatists' kill eight soldiers in Indonesian Papua;Gunmen kill 8 soldiers in 2 separate attacks in Indonesia's restive Papua province;Eight Indonesian Soldiers Killed in Papua Attacks;Gunmen attack Indonesian military helicopter on mission to evacuate slain soldiers in Papua;Papua Police Chief Says Recent Attacks Linked to Local Elections,A military spokesman,2,Sinak area,Sinak district,Papua Province,Puncak Jaya Regency,-3.833300,IDN,137.850000,POINT (137.850000 -3.833300),124476,Indonesia,850,Asia,1,1,2013-02-21 00:00:00.000,2013-02-21 00:00:00.000,7,0,4,0,11,11,11,850,
260693,INS-2013-1-628-0,2013,2013,2013,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,2,"""Amnesty International,2018-07-02,INDONESIA: ""DON'T BOTHER, JUST LET HIM DIE"": KILLING WITH IMPUNITY IN PAPUA"";""Antara News,2013-05-09,Free Papua commander surrenders to Indonesian police""",Amnesty International;Antara News,2018-07-02;2013-05-09,"INDONESIA: ""DON'T BOTHER, JUST LET HIM DIE"": KILLING WITH IMPUNITY IN PAPUA;Free Papua commander surrenders to Indonesian police",Amnesty International,1,Aimas town,AIMAS,Papua Barat Province,Sorong Regency,-0.956812,IDN,131.335089,POINT (131.335089 -0.956812),128783,Indonesia,850,Asia,1,1,2013-04-30 00:00:00.000,2013-04-30 00:00:00.000,0,0,0,3,3,3,3,850,
68319,INS-2013-1-498-3,2013,2013,2013,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,2,"""The Jakarta Post,2013-06-27,Officer, civilian killed in Puncak Jaya ambush"";""Agence France Presse,2013-06-27,Separatists kill three in Indonesia's Papua""",The Jakarta Post;Agence France Presse,2013-06-27;2013-06-27,"Officer, civilian killed in Puncak Jaya ambush;Separatists kill three in Indonesia's Papua",Police,1,Jigonikme village,"Jigonikme village, Ilu district, Puncak Jaya regency",Papua Province,Puncak Jaya Regency,-3.709191,IDN,138.249305,POINT (138.249305 -3.709191),124477,Indonesia,850,Asia,1,1,2013-06-25 00:00:00.000,2013-06-25 00:00:00.000,1,0,0,2,3,3,3,850,
68330,INS-2013-1-498-4,2013,2013,2013,0,Clear,1,291,291,Indonesia: West Papua,628,628,Government of Indonesia - OPM,155,155,Government of Indonesia,266,266,OPM,1,"""Agence France Presse,2013-09-02,Separatist snipers kill soldier in Indonesia's Papua: police""",Agence France Presse,2013-09-02,Separatist snipers kill soldier in Indonesia's Papua: police,Police,1,Tingginambut village,Tingginambut village in West Papua province  (near),Papua Province,Puncak Jaya Regency,-3.718000,IDN,138.085000,POINT (138.085000 -3.718000),124477,Indonesia,850,Asia,1,1,2013-08-31 00:00:00.000,2013-08-31 00:00:00.000,1,0,0,0,1,1,1,850,
