Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases
3/1/2020,ID-JK,DKI Jakarta,2,0,0,2,39,20,41,-22
3/2/2020,ID-JK,DKI Jakarta,2,0,0,2,41,20,41,-20
3/2/2020,IDN,Indonesia,2,0,0,2,2,0,0,2
3/2/2020,ID-RI,Riau,1,0,0,1,2,0,3,-1
3/3/2020,ID-JK,DKI Jakarta,2,0,0,2,43,20,41,-18
3/3/2020,IDN,Indonesia,0,0,0,0,2,0,0,2
3/3/2020,ID-JB,Jawa Barat,1,1,0,0,1,1,8,-8
3/3/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/4/2020,ID-JK,DKI Jakarta,2,0,0,2,45,20,41,-16
3/4/2020,IDN,Indonesia,0,0,0,0,2,0,0,2
3/4/2020,ID-JB,Jawa Barat,1,0,0,1,2,1,8,-7
3/4/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/5/2020,ID-JK,DKI Jakarta,0,1,0,-1,45,21,41,-17
3/5/2020,IDN,Indonesia,0,0,0,0,2,0,0,2
3/5/2020,ID-JB,Jawa Barat,1,0,0,1,3,1,8,-6
3/5/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/6/2020,ID-BT,Banten,1,0,1,0,1,5,74,-78
3/6/2020,ID-JK,DKI Jakarta,0,0,0,0,45,21,41,-17
3/6/2020,IDN,Indonesia,2,0,0,2,4,0,0,4
3/6/2020,ID-JB,Jawa Barat,1,0,0,1,4,1,8,-5
3/6/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/7/2020,ID-BT,Banten,0,0,0,0,1,5,74,-78
3/7/2020,ID-JK,DKI Jakarta,0,2,0,-2,45,23,41,-19
3/7/2020,IDN,Indonesia,0,0,0,0,4,0,0,4
3/7/2020,ID-JB,Jawa Barat,0,0,0,0,4,1,8,-5
3/7/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/8/2020,ID-BT,Banten,1,0,3,-2,2,5,77,-80
3/8/2020,ID-JK,DKI Jakarta,0,0,0,0,45,23,41,-19
3/8/2020,IDN,Indonesia,2,0,0,2,6,0,0,6
3/8/2020,ID-JB,Jawa Barat,0,0,0,0,4,1,8,-5
3/8/2020,ID-JT,Jawa Tengah,1,1,0,0,1,8,8,-15
3/8/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/9/2020,ID-BT,Banten,0,0,0,0,2,5,77,-80
3/9/2020,ID-JK,DKI Jakarta,0,1,0,-1,45,24,41,-20
3/9/2020,IDN,Indonesia,13,0,0,13,19,0,0,19
3/9/2020,ID-JB,Jawa Barat,0,0,0,0,4,1,8,-5
3/9/2020,ID-JT,Jawa Tengah,0,0,0,0,1,8,8,-15
3/9/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/10/2020,ID-BT,Banten,0,0,8,-8,2,5,85,-88
3/10/2020,ID-JK,DKI Jakarta,0,0,0,0,45,24,41,-20
3/10/2020,IDN,Indonesia,8,0,2,6,27,0,2,25
3/10/2020,ID-JB,Jawa Barat,0,0,0,0,4,1,8,-5
3/10/2020,ID-JT,Jawa Tengah,0,0,0,0,1,8,8,-15
3/10/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/10/2020,ID-SG,Sulawesi Tenggara,1,0,0,1,1,0,0,1
3/11/2020,ID-BA,Bali,1,1,0,0,1,1,3,-3
3/11/2020,ID-BT,Banten,0,0,8,-8,2,5,93,-96
3/11/2020,ID-JK,DKI Jakarta,0,0,0,0,45,24,41,-20
3/11/2020,IDN,Indonesia,7,1,0,6,34,1,2,31
3/11/2020,ID-JB,Jawa Barat,0,1,0,-1,4,2,8,-6
3/11/2020,ID-JT,Jawa Tengah,2,1,1,0,3,9,9,-15
3/11/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1
3/11/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1
